PlotName,SiteName,SiteCode,Year,POINT_X,POINT_Y,NDMI
Bloomfield+C2,Bloomfield,BL,2017,-53.98556391,48.35057243,0.551100016
Bloomfield+I2,Bloomfield,BL,2017,-53.98267731,48.35061138,0.587899983
Bloomfield+L2,Bloomfield,BL,2017,-53.9811386,48.35061531,0.4366
Bloomfield+A3,Bloomfield,BL,2017,-53.98687997,48.35091615,0.544099987
Bloomfield+F3,Bloomfield,BL,2017,-53.98393523,48.35088466,0.576600015
Bloomfield+N3,Bloomfield,BL,2017,-53.97998532,48.35097815,0.504400015
Bloomfield+C4,Bloomfield,BL,2017,-53.98565775,48.35125384,0.481400013
Bloomfield+I4,Bloomfield,BL,2017,-53.98255492,48.35128941,0.591700017
Bloomfield+L4,Bloomfield,BL,2017,-53.98112454,48.35129953,0.5
Bloomfield+A5,Bloomfield,BL,2017,-53.98677111,48.35159383,0.408300012
Bloomfield+F5,Bloomfield,BL,2017,-53.98380042,48.35158101,0.579299986
Bloomfield+N5,Bloomfield,BL,2017,-53.98005475,48.35170519,0.548600018
Bloomfield+C6,Bloomfield,BL,2017,-53.98559142,48.35196641,0.579200029
Bloomfield+I6,Bloomfield,BL,2017,-53.98237808,48.35195986,0.583000004
Bloomfield+L6,Bloomfield,BL,2017,-53.98105657,48.35198514,0.549199998
Bloomfield+F7,Bloomfield,BL,2017,-53.98371638,48.35222206,0.557799995
Bloomfield+A7,Bloomfield,BL,2017,-53.98666436,48.35230745,0.578199983
Bloomfield+N7,Bloomfield,BL,2017,-53.97991727,48.35235661,0.561200023
Bloomfield+I8,Bloomfield,BL,2017,-53.98232098,48.3526002,0.49849999
Bloomfield+C8,Bloomfield,BL,2017,-53.98545664,48.35266276,0.5546
Bloomfield+L8,Bloomfield,BL,2017,-53.98109644,48.35266796,0.505299985
Bloomfield+A9,Bloomfield,BL,2017,-53.98652643,48.3529499,0.592800021
Bloomfield+F9,Bloomfield,BL,2017,-53.98365475,48.35301548,0.572099984
Bloomfield+N9,Bloomfield,BL,2017,-53.97987519,48.35302356,0.550400019
Bloomfield+C10,Bloomfield,BL,2017,-53.98537367,48.35332177,0.619199991
Bloomfield+I10,Bloomfield,BL,2017,-53.98216182,48.35334217,0.592199981
Bloomfield+L10,Bloomfield,BL,2017,-53.98096159,48.35336431,0.535600007
Bloomfield+A11,Bloomfield,BL,2017,-53.98642177,48.35369946,0.58160001
Bloomfield+F11,Bloomfield,BL,2017,-53.98351731,48.35366691,0.622799993
Bloomfield+N11,Bloomfield,BL,2017,-53.97991557,48.35371536,0.574800014
Bloomfield+C12,Bloomfield,BL,2017,-53.98529123,48.35398977,0.593599975
Bloomfield+I12,Bloomfield,BL,2017,-53.98197359,48.3540489,0.570800006
Bloomfield+L12,Bloomfield,BL,2017,-53.98086718,48.3540596,0.552999973
Bloomfield+A13,Bloomfield,BL,2017,-53.98627405,48.35440514,0.532400012
Bloomfield+F13,Bloomfield,BL,2017,-53.98342609,48.35441612,0.592400014
Bloomfield+N13,Bloomfield,BL,2017,-53.97983305,48.35438336,0.574199975
Bloomfield+B14,Bloomfield,BL,2017,-53.98576199,48.3546524,0.528199971
Bloomfield+C14,Bloomfield,BL,2017,-53.98522488,48.35470234,0.528500021
Bloomfield+G14,Bloomfield,BL,2017,-53.98292854,48.35468098,0.601400018
Bloomfield+I14,Bloomfield,BL,2017,-53.98191806,48.3547162,0.566799998
Bloomfield+L14,Bloomfield,BL,2017,-53.98083755,48.35470823,0.4991
Bloomfield+H14,Bloomfield,BL,2017,-53.98246146,48.35477408,0.568499982
Bloomfield+M14,Bloomfield,BL,2017,-53.98030097,48.35476714,0.506299973
Dunphys Pond+A1,Dunphys Pond,DP,2017,-54.128409,48.42762812,0.358249992
Dunphys Pond+A3,Dunphys Pond,DP,2017,-54.12757058,48.42811106,0.332349986
Dunphys Pond+D1,Dunphys Pond,DP,2017,-54.12952365,48.42824082,0.318749994
Dunphys Pond+C2,Dunphys Pond,DP,2017,-54.12874751,48.42833841,0.342700005
Dunphys Pond+E1,Dunphys Pond,DP,2017,-54.12980649,48.42849982,0.32190001
Dunphys Pond+A5,Dunphys Pond,DP,2017,-54.12694309,48.42868924,0.346450001
Dunphys Pond+F1,Dunphys Pond,DP,2017,-54.13005828,48.42883002,0.273900002
Dunphys Pond+C4,Dunphys Pond,DP,2017,-54.12787802,48.42889255,0.303350002
Dunphys Pond+A7,Dunphys Pond,DP,2017,-54.12622919,48.42912129,0.248999998
Dunphys Pond+C6,Dunphys Pond,DP,2017,-54.12738217,48.42929407,0.294750005
