PlotName,Year,EVI,DEM_2016,Aspect_2016,Slope_2016,LandCover,AgeClss,HghtCls,CrwnDns,SppComp
TNNP North+A7,2016,0.40200001,51,103,5.139693737,Coniferous,61-80-years,6.6-9.5-meters,>75%,bS
TNNP North+A9,2016,0.4005,58,94,6.201053619,Coniferous,81-100-years,9.6-12.5-meters,26-50%,bSwB
TNNP North+B14,2016,0.365266681,78,113,1.817522049,Coniferous,61-80-years,9.6-12.5-meters,>75%,bS
TNNP North+C10,2016,0.379999995,64,135,11.32904339,Mixed,61-80-years,9.6-12.5-meters,26-50%,bS
TNNP North+C12,2016,0.337566674,76,151,2.456394672,Coniferous,61-80-years,9.6-12.5-meters,>75%,bS
TNNP North+C14,2016,0.369399995,76,45,0.675206006,Coniferous,61-80-years,9.6-12.5-meters,>75%,bS
TNNP North+C2,2016,0.421200007,35,124,5.150652409,Mixed,61-80-years,9.6-12.5-meters,26-50%,bSwB
TNNP North+C4,2016,0.47420001,44,98,6.721369267,Coniferous,61-80-years,6.6-9.5-meters,>75%,bS
TNNP North+C6,2016,0.353899986,50,102,5.601181984,Coniferous,61-80-years,6.6-9.5-meters,>75%,bS
TNNP North+C8,2016,0.341966659,55,139,5.062306881,Coniferous,61-80-years,6.6-9.5-meters,>75%,bS
TNNP North+D1,2016,0.407066673,36,171,11.46183681,Mixed,61-80-years,9.6-12.5-meters,26-50%,bSwB
TNNP North+E1,2016,0.403499991,44,180,16.26020432,Mixed,61-80-years,9.6-12.5-meters,26-50%,bSwB
TNNP North+F1,2016,0.405066669,62,175,10.43076038,Mixed,61-80-years,9.6-12.5-meters,26-50%,bSwB
TNNP North+F11,2016,0.390333325,77,126,2.052775145,Coniferous,61-80-years,9.6-12.5-meters,26-50%,bS
TNNP North+F13,2016,0.338166654,76,162,1.509526968,Coniferous,61-80-years,9.6-12.5-meters,26-50%,bS
TNNP North+F3,2016,0.311566681,54,128,13.04473019,Coniferous,61-80-years,6.6-9.5-meters,>75%,bS
TNNP North+F5,2016,0.346833318,48,132,6.063765049,Coniferous,61-80-years,6.6-9.5-meters,>75%,bS
TNNP North+F7,2016,0.398600012,56,105,8.111279488,Coniferous,61-80-years,6.6-9.5-meters,>75%,bS
TNNP North+F9,2016,0.33496666,74,94,9.719867706,Coniferous,61-80-years,6.6-9.5-meters,>75%,bS
TNNP North+G14,2016,0.388366669,78,143,9.787315369,Coniferous,61-80-years,6.6-9.5-meters,>75%,bS
TNNP North+H14,2016,0.328500003,86,107,8.691301346,Coniferous,61-80-years,6.6-9.5-meters,>75%,bS
