"","PlotName","SiteName","SiteCode","POINT_X","POINT_Y","NDMI2016","NDMI2017","coords.x1","coords.x2","coords.x3","optional"
"37","Bloomfield+N11","Bloomfield","BL",-53.9799155663,48.3537153605,0.51434999704361,0.57480001449585,723728.400488815,5360023.52231459,0,TRUE
"38","Bloomfield+C12","Bloomfield","BL",-53.9852912257,48.3539897699,0.580999970436096,0.5935999751091,723329.013303239,5360038.33419325,0,TRUE
"39","Bloomfield+I12","Bloomfield","BL",-53.9819735895,48.3540488999,0.540899991989136,0.570800006389618,723574.497768303,5360054.58214836,0,TRUE
"40","Bloomfield+L12","Bloomfield","BL",-53.9808671845,48.3540596043,0.507250010967255,0.552999973297119,723656.404203361,5360059.00120093,0,TRUE
"41","Bloomfield+A13","Bloomfield","BL",-53.9862740456,48.3544051426,0.512549996376038,0.532400012016296,723254.397885609,5360081.63203606,0,TRUE
"42","Bloomfield+F13","Bloomfield","BL",-53.9834260879,48.3544161184,0.576650023460388,0.592400014400482,723465.301589843,5360091.15509543,0,TRUE
"43","Bloomfield+N13","Bloomfield","BL",-53.97983305,48.3543833558,0.523249983787537,0.574199974536896,723731.585738034,5360098.00079827,0,TRUE
"44","Bloomfield+B14","Bloomfield","BL",-53.9857619862,48.3546523956,0.538349986076355,0.528199970722198,723291.245508904,5360110.60279616,0,TRUE
"45","Bloomfield+C14","Bloomfield","BL",-53.9852248848,48.3547023397,0.523800015449524,0.528500020503998,723330.810636154,5360117.71891613,0,TRUE
"46","Bloomfield+G14","Bloomfield","BL",-53.9829285433,48.3546809773,0.58840000629425,0.601400017738342,723500.995977717,5360122.04155311,0,TRUE
"47","Bloomfield+I14","Bloomfield","BL",-53.9819180597,48.3547161963,0.513899981975555,0.566799998283386,723575.689107802,5360128.90406555,0,TRUE
"48","Bloomfield+L14","Bloomfield","BL",-53.9808375511,48.3547082316,0.430599987506866,0.499099999666214,723655.758081113,5360131.17277667,0,TRUE
"49","Bloomfield+H14","Bloomfield","BL",-53.9824614631,48.3547740811,0.556999981403351,0.568499982357025,723535.185389094,5360133.75138088,0,TRUE
"50","Bloomfield+M14","Bloomfield","BL",-53.9803009669,48.3547671375,0.438650012016296,0.50629997253418,723695.24521063,5360139.28590964,0,TRUE
"51","Dunphys Pond+A1","Dunphys Pond","DP",-54.128409004,48.4276281217,0.407099992036819,0.358249992132187,712420.998191259,5367814.99846526,0,TRUE
"52","Dunphys Pond+A3","Dunphys Pond","DP",-54.1275705806,48.4281110593,0.386133342981339,0.332349985837936,712480.998212376,5367870.99850186,0,TRUE
"53","Dunphys Pond+D1","Dunphys Pond","DP",-54.1295236481,48.4282408152,0.351533323526382,0.318749994039536,712335.99821021,5367879.99846998,0,TRUE
"54","Dunphys Pond+C2","Dunphys Pond","DP",-54.1287475119,48.4283384079,0.370000004768372,0.342700004577637,712392.998175534,5367892.99842506,0,TRUE
"55","Dunphys Pond+E1","Dunphys Pond","DP",-54.1298064883,48.4284998164,0.327499985694885,0.321900010108948,712313.998252934,5367907.99851562,0,TRUE
"56","Dunphys Pond+A5","Dunphys Pond","DP",-54.1269430884,48.4286892393,0.384166657924652,0.346450001001358,712524.998197495,5367936.99842563,0,TRUE
"57","Dunphys Pond+F1","Dunphys Pond","DP",-54.1300582801,48.4288300243,0.297166675329208,0.273900002241135,712293.998168946,5367943.99852273,0,TRUE
"58","Dunphys Pond+C4","Dunphys Pond","DP",-54.1278780241,48.4288925546,0.360300004482269,0.303350001573563,712454.998159626,5367956.99843448,0,TRUE
"59","Dunphys Pond+A7","Dunphys Pond","DP",-54.1262291865,48.4291212915,0.325300008058548,0.248999997973442,712575.998178663,5367986.99845655,0,TRUE
"60","Dunphys Pond+C6","Dunphys Pond","DP",-54.1273821717,48.4292940691,0.358533322811127,0.29475000500679,712489.998231195,5368002.99847383,0,TRUE
"61","Dunphys Pond+F3","Dunphys Pond","DP",-54.1293378172,48.4293789034,0.353833347558975,0.262349992990494,712344.998159066,5368006.998486,0,TRUE
"62","Dunphys Pond+A9","Dunphys Pond","DP",-54.1255387244,48.4296169103,0.374633342027664,0.370350003242493,712624.998181639,5368043.99849509,0,TRUE
"63","Dunphys Pond+C8","Dunphys Pond","DP",-54.1266787244,48.429780372,0.365200012922287,0.316599994897842,712539.998196962,5368058.99846688,0,TRUE
"64","Dunphys Pond+I2","Dunphys Pond","DP",-54.130675114,48.4298801713,0.479499995708466,0.444849997758865,712243.998178125,5368058.99842883,0,TRUE
"65","Dunphys Pond+J1","Dunphys Pond","DP",-54.1313901795,48.4299070119,0.493166655302048,0.465849995613098,712190.998208892,5368059.99848119,0,TRUE
"66","Dunphys Pond+F5","Dunphys Pond","DP",-54.1286338786,48.4298742037,0.333566665649414,0.233050003647804,712394.998244491,5368063.99847021,0,TRUE
"67","Dunphys Pond+A11","Dunphys Pond","DP",-54.1247167865,48.4300462518,0.348733335733414,0.300949990749359,712683.998199838,5368093.99848222,0,TRUE
"68","Dunphys Pond+K1","Dunphys Pond","DP",-54.1316310169,48.430191954,0.462066680192947,0.420500010251999,712171.998158332,5368090.99852343,0,TRUE
"69","Dunphys Pond+C10","Dunphys Pond","DP",-54.125935773,48.4302476875,0.410400003194809,0.357849985361099,712592.99820914,5368112.99846305,0,TRUE
"70","Dunphys Pond+I4","Dunphys Pond","DP",-54.129919201,48.4303381914,0.454100012779236,0.369300007820129,712297.99823276,5368111.9984593,0,TRUE
"71","Dunphys Pond+F7","Dunphys Pond","DP",-54.1279304348,48.4303605143,0.375233322381973,0.264149993658066,712444.998195512,5368119.99845876,0,TRUE
"72","Dunphys Pond+L2","Dunphys Pond","DP",-54.1316472271,48.430624255,0.486400008201599,0.455749988555908,712168.998224914,5368138.99850274,0,TRUE
"73","Dunphys Pond+A13","Dunphys Pond","DP",-54.1239712767,48.4305584795,0.384233325719833,0.331800013780594,712736.998186948,5368152.99841957,0,TRUE
"74","Dunphys Pond+F9","Dunphys Pond","DP",-54.1272760989,48.4306950843,0.391433328390121,0.333499997854233,712491.998174957,5368158.99848256,0,TRUE
"75","Dunphys Pond+I6","Dunphys Pond","DP",-54.1292567733,48.4308165359,0.437633335590363,0.2778500020504,712344.998225421,5368166.99843702,0,TRUE
"76","Dunphys Pond+C12","Dunphys Pond","DP",-54.1252692523,48.4307978904,0.363933324813843,0.295650005340576,712639.998187691,5368175.99850726,0,TRUE
"77","Dunphys Pond+N1","Dunphys Pond","DP",-54.1327486333,48.4309936438,0.499333322048187,0.438549995422363,712085.998169469,5368176.99846422,0,TRUE
"78","Dunphys Pond+L4","Dunphys Pond","DP",-54.1308908061,48.4310912658,0.471700012683868,0.388799995183945,712222.998198451,5368192.99843643,0,TRUE
"79","Dunphys Pond+B14","Dunphys Pond","DP",-54.1239739217,48.4309904436,0.398699998855591,0.333299994468689,712734.998147686,5368200.99851367,0,TRUE
